Titular;Categoria;Fuente;;
Santos sobre el carajazo de Copa: ÆEl poder la est† volviendo loca, ciega y prepotenteØ;POLITICA;https://www.paginasiete.bo/nacional/2022/4/11/santos-sobre-el-carajazo-de-copa-el-poder-la-esta-volviendo-loca-ciega-prepotente-328293.html;;
Evo llama a su militancia a defender la unidad y apunta a los que hablan de Ærenovaci¢nØ;POLITICA;https://www.paginasiete.bo/nacional/2022/4/11/evo-llama-su-militancia-defender-la-unidad-apunta-los-que-hablan-de-renovacion-328290.html;;
®QuÇ es el Silala y por quÇ hay un proceso activo con Chile en la CIJ?;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/11/que-es-el-silala-por-que-hay-un-proceso-activo-con-chile-en-la-cij-328286.html;;
De nexos con los narcos a operar con la DEA: Evo es frontal con el gobierno;POLITICA;https://www.paginasiete.bo/nacional/2022/4/11/de-nexos-con-los-narcos-operar-con-la-dea-evo-es-frontal-con-el-gobierno-328279.html;;
Defensor°a del Pueblo: de 72 habilitados, 23 son servidores p£blicos, pocos en DDHH;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/11/defensoria-del-pueblo-de-72-habilitados-23-son-servidores-publicos-pocos-en-ddhh-328231.html;;
El Vice ahora dice no estar contra los profesionales;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/11/el-vice-ahora-dice-no-estar-contra-los-profesionales-328278.html;;
Chile reabrir† fronteras terrestres con Argentina, Per£ y Bolivia cerradas por pandemia;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/10/chile-reabrira-fronteras-terrestres-con-argentina-peru-bolivia-cerradas-por-pandemia-328226.html;;
Choquehuanca ahora dice que no est† contra los profesionales y que los medios buscan causar peleas;POLITICA;https://www.paginasiete.bo/nacional/2022/4/10/choquehuanca-ahora-dice-que-no-esta-contra-los-profesionales-que-los-medios-buscan-causar-peleas-328225.html;;
J¢venes militantes interceptan a Evo y le piden llamar a un congreso;POLITICA;https://www.paginasiete.bo/nacional/2022/4/10/jovenes-militantes-interceptan-evo-le-piden-llamar-un-congreso-328219.html;;
Conozca a los 72 postulantes habilitados para la Defensor°a del Pueblo;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/10/conozca-los-72-postulantes-habilitados-para-la-defensoria-del-pueblo-328215.html;;
Evo sospecha que la DEA opera desde ministerios y la Polic°a para implicarlo en narcotr†fico;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/10/evo-sospecha-que-la-dea-opera-desde-ministerios-la-policia-para-implicarlo-en-narcotrafico-328213.html;;
≠D¢nde estaban ustedes, carajo, cuando nos estaban humillando!?: Copa a vecinos que le reclamaron obras;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/10/donde-estaban-ustedes-carajo-cuando-nos-estaban-humillando-copa-vecinos-que-le-reclamaron-obras-328210.html;;
Mar-Silala: en 10 a§os se presupuest¢ Bs 153 MM para mantener Diremar;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/10/mar-silala-en-10-anos-se-presupuesto-bs-153-mm-para-mantener-diremar-328175.html;;
Choquehuanca califica de flojos a licenciados: ense§an a robar;POLITICA;https://www.paginasiete.bo/nacional/2022/4/10/choquehuanca-califica-de-flojos-licenciados-ensenan-robar-328198.html;;
Rodr°guez Elizondo: ÆHe sido enemigo de la judicializaci¢n de los pleitos entre pa°ses vecinosØ;POLITICA;https://www.paginasiete.bo/nacional/2022/4/10/rodriguez-elizondo-he-sido-enemigo-de-la-judicializacion-de-los-pleitos-entre-paises-vecinos-328176.html;;
Creemos: Evo est† acorralado por las narcollamadas;POLITICA;https://www.paginasiete.bo/nacional/2022/4/10/creemos-evo-esta-acorralado-por-las-narcollamadas-328199.html;;
Ministro de Comercio Exterior de Reino Unido llega a Bolivia;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/10/ministro-de-comercio-exterior-de-reino-unido-llega-bolivia-328202.html;;
Alegatos: Lo que Bolivia y Chile dijeron y reacciones en los 2 pa°ses;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/10/alegatos-lo-que-bolivia-chile-dijeron-reacciones-en-los-paises-328208.html;;
Jaime Paz Zamora retorna a su hogar tras recibir el alta mÇdica;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/9/jaime-paz-zamora-retorna-su-hogar-tras-recibir-el-alta-medica-328167.html;;
Choquehuanca sobre los licenciados: ®QuÇ nos van a ense§ar? ≠A robar! Son bien flojos;NACIONAL;https://www.paginasiete.bo/nacional/2022/4/9/choquehuanca-sobre-los-licenciados-que-nos-van-ensenar-a-robar-son-bien-flojos-328134.html;;
