Categoria;Titular;Fuente
Nacional;Santos sobre el carajazo de Copa: «El poder la está volviendo loca, ciega y prepotente»;https://www.paginasiete.bo/nacional/2022/4/11/santos-sobre-el-carajazo-de-copa-el-poder-la-esta-volviendo-loca-ciega-prepotente-328293.html
Nacional;Evo llama a su militancia a defender la unidad y apunta a los que hablan de «renovación»;https://www.paginasiete.bo/nacional/2022/4/11/evo-llama-su-militancia-defender-la-unidad-apunta-los-que-hablan-de-renovacion-328290.html
Nacional;¿Qué es el Silala y por qué hay un proceso activo con Chile en la CIJ?;https://www.paginasiete.bo/nacional/2022/4/11/que-es-el-silala-por-que-hay-un-proceso-activo-con-chile-en-la-cij-328286.html
Nacional;De nexos con los narcos a operar con la DEA: Evo es frontal con el gobierno;https://www.paginasiete.bo/nacional/2022/4/11/de-nexos-con-los-narcos-operar-con-la-dea-evo-es-frontal-con-el-gobierno-328279.html
Nacional;Defensoría del Pueblo: de 72 habilitados, 23 son servidores públicos, pocos en DDHH;https://www.paginasiete.bo/nacional/2022/4/11/defensoria-del-pueblo-de-72-habilitados-23-son-servidores-publicos-pocos-en-ddhh-328231.html
Nacional;El Vice ahora dice no estar contra los profesionales;https://www.paginasiete.bo/nacional/2022/4/11/el-vice-ahora-dice-no-estar-contra-los-profesionales-328278.html
Nacional;Chile reabrirá fronteras terrestres con Argentina, Perú y Bolivia cerradas por pandemia;https://www.paginasiete.bo/nacional/2022/4/10/chile-reabrira-fronteras-terrestres-con-argentina-peru-bolivia-cerradas-por-pandemia-328226.html
Nacional;Choquehuanca ahora dice que no está contra los profesionales y que los medios buscan causar peleas;https://www.paginasiete.bo/nacional/2022/4/10/choquehuanca-ahora-dice-que-no-esta-contra-los-profesionales-que-los-medios-buscan-causar-peleas-328225.html
Nacional;Jóvenes militantes interceptan a Evo y le piden llamar a un congreso;https://www.paginasiete.bo/nacional/2022/4/10/jovenes-militantes-interceptan-evo-le-piden-llamar-un-congreso-328219.html
Nacional;Conozca a los 72 postulantes habilitados para la Defensoría del Pueblo;https://www.paginasiete.bo/nacional/2022/4/10/conozca-los-72-postulantes-habilitados-para-la-defensoria-del-pueblo-328215.html
Nacional;Evo sospecha que la DEA opera desde ministerios y la Policía para implicarlo en narcotráfico;https://www.paginasiete.bo/nacional/2022/4/10/evo-sospecha-que-la-dea-opera-desde-ministerios-la-policia-para-implicarlo-en-narcotrafico-328213.html
Nacional;¡Dónde estaban ustedes, carajo, cuando nos estaban humillando!”: Copa a vecinos que le reclamaron obras;https://www.paginasiete.bo/nacional/2022/4/10/donde-estaban-ustedes-carajo-cuando-nos-estaban-humillando-copa-vecinos-que-le-reclamaron-obras-328210.html
Nacional;Mar-Silala: en 10 años se presupuestó Bs 153 MM para mantener Diremar;https://www.paginasiete.bo/nacional/2022/4/10/mar-silala-en-10-anos-se-presupuesto-bs-153-mm-para-mantener-diremar-328175.html
Nacional;Choquehuanca califica de flojos a licenciados: enseñan a robar;https://www.paginasiete.bo/nacional/2022/4/10/choquehuanca-califica-de-flojos-licenciados-ensenan-robar-328198.html
Nacional;Rodríguez Elizondo: «He sido enemigo de la judicialización de los pleitos entre países vecinos»;https://www.paginasiete.bo/nacional/2022/4/10/rodriguez-elizondo-he-sido-enemigo-de-la-judicializacion-de-los-pleitos-entre-paises-vecinos-328176.html
Nacional;Creemos: Evo está acorralado por las narcollamadas;https://www.paginasiete.bo/nacional/2022/4/10/creemos-evo-esta-acorralado-por-las-narcollamadas-328199.html
Nacional;Ministro de Comercio Exterior de Reino Unido llega a Bolivia;https://www.paginasiete.bo/nacional/2022/4/10/ministro-de-comercio-exterior-de-reino-unido-llega-bolivia-328202.html
Nacional;Alegatos: Lo que Bolivia y Chile dijeron y reacciones en los 2 países;https://www.paginasiete.bo/nacional/2022/4/10/alegatos-lo-que-bolivia-chile-dijeron-reacciones-en-los-paises-328208.html
Nacional;Jaime Paz Zamora retorna a su hogar tras recibir el alta médica;https://www.paginasiete.bo/nacional/2022/4/9/jaime-paz-zamora-retorna-su-hogar-tras-recibir-el-alta-medica-328167.html
Nacional;Choquehuanca sobre los licenciados: ¿Qué nos van a enseñar? ¡A robar! Son bien flojos;https://www.paginasiete.bo/nacional/2022/4/9/choquehuanca-sobre-los-licenciados-que-nos-van-ensenar-a-robar-son-bien-flojos-328134.html
Nacional;Excomandante Mendieta: Evo y Álvaro aterrizaban seguido en el Colmil, hasta con sus familiares;https://www.paginasiete.bo/nacional/2022/4/9/excomandante-mendieta-evo-alvaro-aterrizaban-seguido-en-el-colmil-hasta-con-sus-familiares-328128.html
Nacional;Jeanine Añez: No moví un dedo para ser presidenta y trabajé con la Asamblea;https://www.paginasiete.bo/nacional/2022/4/9/jeanine-anez-no-movi-un-dedo-para-ser-presidenta-trabaje-con-la-asamblea-328107.html
Nacional;Chile espera permiso de Bolivia para plan turístico;https://www.paginasiete.bo/nacional/2022/4/9/chile-espera-permiso-de-bolivia-para-plan-turistico-328102.html
Nacional;Expertos: Sin canales flujo baja 11%, con restauración de bofedales 33%;https://www.paginasiete.bo/nacional/2022/4/9/expertos-sin-canales-flujo-baja-11-con-restauracion-de-bofedales-33-328108.html
Nacional;Oropeza: Chile no logró datos in situ, sino de forma remota;https://www.paginasiete.bo/nacional/2022/4/9/oropeza-chile-no-logro-datos-in-situ-sino-de-forma-remota-328109.html
